Category,Address,Municipality,Price,Tenant,Land Use,Land Area,Sub Type,Event Date,Vendor,Vendor Signing Officer,Vendor Address,Purchaser,Purchaser Signing Officer,Purchaser Address,Mortgage Type 1,Primary Lender 1,Secondary Lender 1,Tertiary Lender 1,Interest Rate 1,Principal Amount 1,Calculation Period 1,Payment Frequency 1,Payment Amount 1,Commencement Date 1,Maturity Date 1,Instrument Date 1,See Remarks 1,Mortgage Type 2,Primary Lender 2,Secondary Lender 2,Tertiary Lender 2,Interest Rate 2,Principal Amount 2,Calculation Period 2,Payment Frequency 2,Payment Amount 2,Commencement Date 2,Maturity Date 2,Instrument Date 2,See Remarks 2,Mortgage Type 3,Primary Lender 3,Secondary Lender 3,Tertiary Lender 3,Interest Rate 3,Principal Amount 3,Calculation Period 3,Payment Frequency 3,Payment Amount 3,Commencement Date 3,Maturity Date 3,Instrument Date 3,See Remarks 3,Mortgage Type 4,Primary Lender 4,Secondary Lender 4,Tertiary Lender 4,Interest Rate 4,Principal Amount 4,Calculation Period 4,Payment Frequency 4,Payment Amount 4,Commencement Date 4,Maturity Date 4,Instrument Date 4,See Remarks 4
ICILand,545 Morning Sideroad,East Gwillimbury,"$2,895,405.00 ",,Agricultural,10.097 acres,,5/1/2019,An individual(s) acting in his/her own capacity,,"Nick Giampaolo, ASO",Metalogics Inc. (0577006 Ontario Inc.)  - Private Investor - Canadian,"Nick Giampaolo, ASO","70 North Queen Street, Toronto, Ontario, M8Z 2C9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,1269 Danforth Road,Scarborough,"$3,700,000.00 ",,Infrastructure,0.332 acres,,4/30/2019,Bracegate Limited,"Ovais Javed, Director", Messinia Plaza    -   2016-03-02,City of Toronto  - Government,"Maria Khazanov, ASO","Toronto City Hall, 100 Queen Street West, Toronto, ON, M5H 2N2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,55 Fima Crescent,Etobicoke,"$2,150,000.00 ",,Industrial,0.989 acres,,4/30/2019,Quad Property Holdings Inc.,"Jose Dovale, President","40 Bethridge Road, Toronto, Ontario, M9W 1N1",2692796 Ontario Inc.  - User,"Paulo Leonardo and Jeffrey Leonardo, ASOs","55 Fima Crescent, Toronto, ON, M8W 3R1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,21786 Leslie Street,East Gwillimbury,"$4,050,000.00 ",,Agricultural,203.026 acres,,4/30/2019,1999415 Ontario Inc.,"Anne Reynolds, President","1 First Canadian Place, 42nd Floor, Toronto, Ontario, M8W 3P2",Fairwood Farms Limited  - Private Investor - Canadian,"Mark Fairty, ASO","21786 Leslie Street, East Gwillimbury, Ontario",Subsequent,Royal Bank of Canada,,,Royal Bank of Canada's Prime Interest Rate plus 7% per annum,"$4,050,000.00 ",,,,,,4/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,Creditview Road,Brampton,"$7,969,466.76 ",,Institutional,6.993 acres,,4/30/2019,Mattamy Homes (Mt. Pleasant (51-1) Inc.),"Dani, ASO","The Tenth Floor, 425 Adelaide Street West, Toronto, Ontario, M5V 3C1",Peel District School Board  - Institution,"Jaspal Gill, ASO","5650 Hurontario Street, Mississauga, Ontario, L5R 1C6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,Veterans Drive,Brampton,"$8,015,169.80 ",,Institutional,7.036 acres,,4/29/2019,Mattamy Homes (Mt. Pleasant (51-1) Inc.),"Daniel Steinberg, ASO","C/O Davies Howe LLP, The Tenth Floor, 425 Adelaide Street West, Toronto, Ontario, M5V 3C1",Peel District School Board  - Institution,"Jaspal Gill, ASO","5650 Hurontario Street, Mississauga, Ontario, L5R 1C6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,880 Eglinton Avenue East,East York,"$4,000,000.00 ",,Commercial,0.173 acres,,4/29/2019,Scotiabank (The Bank of Nova Scotia),"Darren Da Silva, Vice-President","44 King Street West, 21st Floor, Toronto, ON, M5H 1H1",Queenscorp (Queenscorp (Leaside) Inc.)  - Developer,"Mark Bozzo, ASO","2 Queen Elizabeth Blvd., Toronto, ON, M8Z 1L8",Subsequent,Kay Family Investments Inc.,,,RBC prime rate + 5.05% per annum,"$4,000,000.00 ",Daily,Monthly,,5/30/2019,4/30/2021,4/29/2019,,Subsequent,Kay Family Investments Inc.,,,N/A,"$4,700,000.00 ",,,,,,4/29/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,"1070 Waterdown Road
1093 Howard Road",Burlington,"$18,140,000.00 ",,Industrial,25.478 acres,,4/29/2019,KPM Industries Ltd. (KPM Industries Ltd./Industries KPM Ltee.),"Joseph Hutter, Director","555 Michigan Drive Oakville, Ontario, L6L 0G4",KPM Industries Ltd. (Howard Road Holdings Ltd.)  - User,"Joseph Hutter, ASO","555 Michigan Drive Oakville, Ontario, L6L 0G4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,5412 Bethesda Road,Whitchurch-Stouffville,"$5,075,000.00 ",,Agricultural,78.033 acres,,4/26/2019,An individual(s) acting in his/her own capacity,,"Phong Tan, ASO",Ocean & Echo Investment Inc.  - Private Investor - Canadian,"Phong Tan, ASO","12275 Woodbine Avenue, P.O. Box 186, Gormley, Ontario, L0H 1G0",Subsequent - Demand Debenture,Bank of Montreal,,,Bank of Montreal's Prime Rate plus 5.00%,"$3,500,000.00 ",Monthly,,,,,4/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,2780 Shirley Road,Scugog,"$2,500,000.00 ",,Long Term,202.696 acres,,4/26/2019,An individual(s) acting in his/her own capacity,, 2871 Shirley Road    -   2019-04-26,AJ Kinder Inc.  - Private Investor - Canadian,"Arthur Schickendanz, ASO","3311 Bayview Avenue, Suite 105, Willowdale, Ontario, M2K 1G4",VTB,Vendor Financed,,,4.00%,"$1,738,578.68 ",Quarterly,Quarterly,,,,4/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,2860 Shirley Road,Scugog,"$1,500,000.00 ",,Long Term,100.767 acres,,4/26/2019,An individual(s) acting in his/her own capacity,, 2780 Shirley Road    -   2019-04-26,AJ Kinder Inc.  - Private Investor - Canadian,"Arthur Schickendanz, ASO","3311 Bayview Avenue, Suite 105, Willowdale, Ontario, M2K 1G4",VTB,Vendor Financed,,,4.00%,"$1,043,147.21 ",Quarterly,Quarterly,,,,4/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,3171 Shirley Road,Scugog,"$1,500,000.00 ",,Long Term,104.842 acres,,4/26/2019,An individual(s) acting in his/her own capacity,, 2780 Shirley Road    -   2019-04-26,AJ Kinder Inc.  - Private Investor - Canadian,"Arthur Schickendanz, ASO","3311 Bayview Avenue, Suite 105, Willowdale, Ontario, M2K 1G4",VTB,Vendor Financed,,,4.00%,"$1,043,147.21 ",Quarterly,Quarterly,,,,4/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,2871 Shirley Road,Scugog,"$1,700,000.00 ",,Long Term,158.848 acres,,4/26/2019,An individual(s) acting in his/her own capacity,, 2780 Shirley Road    -   2019-04-26,AJ Kinder Inc.  - Private Investor - Canadian,"Arthur Schickendanz, ASO","3311 Bayview Avenue, Suite 105, Willowdale, Ontario, M2K 1G4",VTB,Vendor Financed,,,4.00%,"$1,182,233.50 ",Quarterly,Quarterly,,,,4/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,927 Bovaird Drive West,Brampton,"$1,653,000.00 ",,Other,1.057 acres,,4/25/2019,An individual(s) acting in his/her own capacity,, 917 Bovaird Drive West    -   2019-04-25,The Corporation of The City of Brampton  - Government,"Al Meneses, ASO","2 Wellington Street West, Brampton, Ontario, L6Y 4R2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,917 Bovaird Drive West,Brampton,"$1,174,500.00 ",,Other,0.811 acres,,4/25/2019,An individual(s) acting in his/her own capacity,, 927 Bovaird Drive West    -   2019-04-25,The Corporation of The City of Brampton  - Government,"Al Meneses, ASO","2 Wellington Street West, Brampton, Ontario, L6Y 4R2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,"156 Front Street West
174 Front Street West
47 Simcoe Street
51 Simcoe Street",Old Toronto,"$229,081,114.56 ",,Office,1.550 acres,,4/24/2019,Cadillac Fairview (160 FSW Holdings Inc.),"Ron Strathdee and Rory McLeod, ASO and Vice-President", 156 Front Street West    -   2010-01-14,The Toronto-Dominion Bank (TD 160 Front Street Nominee Limted)  - Private Investor - Canadian,"Paul Whitehead and Tanjit Ahluwalia, President and CFO","c/o The Toronto-Dominion Bank, TD Tower, 15th Floor, 66 Wellington Street West, Toronto, Ontario, M5K 1A2",Subsequent - Demand Debenture,Vendor Financed,,,25.0% per annum,"$240,000,000.00 ",Daily,,,,,4/24/2019,,Subsequent - Demand Debenture,OPB (160 Front) Nominee Inc.,,,25.0% per annum,"$240,000,000.00 ",Daily,,,,,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,8350 Concession No. 3,Uxbridge,"$1,000,000.00 ",,Agricultural,98.703 acres,,4/23/2019,An individual(s) acting in his/her own capacity,,"Ronald Thomphson, ASO",Cail Incorporated  - Private Investor - Canadian,"Ronald Thomphson, ASO","4133 Bethesda Road, Stouffville, Ontario, L4A 7X5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,13865 Bramalea Road,Caledon,"$5,000,000.00 ",,Agricultural,81.861 acres,,4/18/2019,An individual(s) acting in his/her own capacity,,"Pargat Brar and Ashminder Brar, ASO",2691371 Ontario Inc.  - Private Investor - Canadian,"Pargat Brar and Ashminder Brar, ASO","14192 Torbram Road, Caledon, Ontario, L7C 2T1",VTB,Vendor Financed,,,7.00%,"$3,500,000.00 ",Semi-annually,Monthly,"$20,125.14 ",5/17/2019,4/17/2020,4/18/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,2507 Dundas Street West,Oakville,"$4,325,000.00 ",,Commercial,1.855 acres,,4/18/2019,An individual(s) acting in his/her own capacity,,"Glen Luckman, ASO",Dymon Storage (2507 Dundas Storage GP Corporation)  - User,"Glen Luckman, ASO","1830 Walkley Road, Unit 2, Ottawa, Ontario, K1H 8K3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,8889 Tenth Side Road,Halton Hills,"$2,355,000.00 ",,Agricultural,33.134 acres,,4/17/2019,An individual(s) acting in his/her own capacity,,"Amrinder Lubana, ASO",MedEvac Canada Inc. (2674116 Ontario Inc.)  - Private Investor - Canadian,"Amrinder Lubana, ASO","7180 Transmark Court, Mississauga, Ontario, L5S 1Z5",Subsequent,Bank of Montreal,,,Mortgagee's Prime Rate + 5% per annum,"$1,766,000.00 ",Monthly,,,,,4/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,2711 Markham Road,Scarborough,"$2,200,000.00 ",,Industrial,0.608 acres,,4/15/2019,An individual(s) acting in his/her own capacity,,"Rajendra Persaud, ASO",2676386 Ontario Inc.  - Private Investor - Canadian,"Rajendra Persaud, ASO","410 Passmore Avenue, Scarborough, Ontario, M1V 5C3",Subsequent,Vendor Financed,,,4.99% per annum,"$1,850,000.00 ",Monthly,Monthly,"$7,692.92 ",5/15/2019,4/15/2022,4/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,1025 Concession Road No. 2 Sunderland,Brock,"$1,000,000.00 ",,Agricultural,100.511 acres,,4/15/2019,An individual(s) acting in his/her own capacity,,"James Clifford Smith, ASO","An individual(s) acting in his/her own capacity (1% interest)  - Private Investor - Canadian
Gowanlea Ltd. (99% interest)  - Private Investor - Canadian","James Clifford Smith, ASO","11400 Highway #12, Sunderland, Ontario, L0C 1H0",Subsequent - Demand Debenture,Farm Credit Canada,,,18%,"$2,000,000.00 ",,,,,,4/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,13029 Tenth Line,Halton Hills,"$1,950,000.00 ",,Agricultural,48.249 acres,,4/15/2019,Atrium Mortgage Investment Corporation,"Jennifer Scoffield, Chief Financial Officer","20 Adelaide Street East, Suite 900, Toronto, Ontario M5C 2T6",Dynamic Electric Ltd. (1835039 Ontario Ltd.)  - Private Investor - Canadian,"Ken Russell, ASO","c/o 14269 Third Line, Acton, Ontario, L7J 2L8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,Phillip Murray Avenue,Oshawa,"$1,170,000.00 ",,Industrial,2.476 acres,,4/15/2019,Mogulette Inc.,"Ana Louriero, President","383 Paradelle Drive, Richmond Hill, Ontario, L4E 4R8",1994865 Ontario Ltd.  - Private Investor - Canadian,"Alimasi Chen, ASO","10 Deer Run Court, Richmond Hill, Ontario, L4E 3M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,1 Leaside Park Drive (Parking),Old Toronto,"$1,365,000.00 ",,Other,acres,,4/12/2019,Invar (Leaside) Limited,"Frank Spain, Secretary","220 Duncan Mill Road, Suite 301, Toronto, Ontario, M3B 3J5",2675454 Ontario Inc.  - Private Investor - Canadian,"Rocco Solmito, ASO","17 Beechwood Drive, Toronto, Ontario, M4K 3H7",Subsequent,Vendor Financed,,,4.0% per annum,"$1,065,000.00 ",Monthly,Monthly,"$3,550.00 ",5/11/2019,4/11/2024,4/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,S201 Victoria Corners Road East,Brock,"$1,250,000.00 ",,Agricultural,157.154 acres,,4/12/2019,1681822 Ontario Inc.,"Sahar Adel Alqudsi, President","55 Kingsbridge Garden Circle, Suite 2204, Mississauga, Ontario, L5R 1Y1",Uxbridge Nurseries Limited  - User,"Henry John Worsley, ASO","8080 Bladwin Street, Brooklin, Ontario",Subsequent - Demand Debenture,The Toronto-Dominion Bank,,,The Toronto-Dominion Bank's Prime Rate plus 5% per annum,"$4,000,000.00 ",Monthly,Monthly,,,,4/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,4141 Derry Road,Milton,"$2,825,000.00 ",,Other,21.545 acres,,4/11/2019,An individual(s) acting in his/her own capacity,,"Inderpal Athwal, ASO",2481975 Ontario Inc.  - Private Investor - Canadian,"Inderpal Athwal, ASO","4141 Derry Road West, Milton, Ontario, L9T 2X6",Subsequent - Demand Debenture,The Bank of Nova Scotia,,,The Bank of Nova Scotia's Prime Lending Rate plus 10.0% per annum,"$1,400,000.00 ",Daily,Monthly,,,,4/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,6202 Healey Road,Caledon,"$11,800,000.00 ",,Commercial,10.015 acres,,4/11/2019,An individual(s) acting in his/her own capacity,,"Inderpal Kahlon, ASO",2619591 Ontario Ltd.  - User,"Inderpal Kahlon, ASO","6202 Healey Road, Caledon, Ontario, L7C 0W7",Subsequent,Roynat Inc.,,,Canadian Variable Rate plus 3% per annum,"$10,000,000.00 ",,Monthly,,,,4/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,38 Camden Street,Old Toronto,"$9,500,000.00 ",,Hotel,0.120 acres,,4/10/2019,Bercow Inc.,"Bernard Cowan, President","Bernard Cowan, President",Mango Hotels (Manga Hotels (Camden) Inc.)  - Private Investor - Canadian,"Sukhdev Toor, ASO","38 Camden St, Toronto, ON",Subsequent,Computershare Trust Company of Canada,,,5.7% per annum,"$6,200,000.00 ",Semi-annually,Monthly,"$32,542.70 ",6/1/2019,11/1/2021,4/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,Airport Road,Caledon,"$1,465,000.00 ",,,9.969 acres,,4/10/2019,An individual(s) acting in his/her own capacity,,"Ramandeep Grewal, ASO",2519831 Ontario Ltd.  - Private Investor - Canadian,"Ramandeep Grewal, ASO","0 Airport Road, Caledon, Ontario,",Subsequent,Owemanco Mortgage Holding Corporation,,,Floating at the greater of The Bank of Nova Scotia Prime Lending Rate Plus 4.55% or 8.50% Per Annum,"$500,000.00 ",Monthly,Monthly,,6/1/2019,5/1/2020,4/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,1845 South Service Road,Clarington,"$3,590,480.00 ",,Commercial,24.285 acres,,4/8/2019,Cox Automotive Canada Company,"Mostaz Ashoor, Chief Financial Officer","2233 Argentia Road, Mississauga, Ontario, L5N 2X7",East Penn Canada (Power Battery Sales Ltd.)  - User,"James Bouchard, ASO","c/o 165 Harwood Road North, Ajax, Ontario, L1Z 1L9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,595 Bronte Road,Oakville,"$5,200,000.00 ",,Commercial,0.790 acres,,4/8/2019,2559779 Ontario Inc.,"Peng Yin, President", 595 Bronte Road    -   2017-05-01,2640353 Ontario Inc.  - Private Investor - Canadian,"Zijian Liu, ASO","595 Bronte Road, Oakville, Ontario, L6L 6S2",Subsequent,RPN Finance Corp.,,,9.50%,"$6,500,000.00 ",Monthly,Monthly,"$51,458.34 ",5/1/2019,4/1/2020,4/8/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,320 Industrial Parkway South,Aurora,"$1,050,000.00 ",,Industrial,1.139 acres,,4/5/2019,Axispoint Financial Inc.,"Pinhas Gorin, President", 320 Industrial Parkway South    -   2018-10-17,Zano-Con Development Ltd.  - Private Investor - Canadian,"Frank Provenzano, ASO","33 Dinardo Court, King City, Ontario, L7B 1M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,1337 Holborn Road,East Gwillimbury,"$1,750,000.00 ",,Agricultural,11.479 acres,,4/5/2019,An individual(s) acting in his/her own capacity,,"Nicola Furlano and Antonietta Hebert, President and Secretary",Holburne Mushroom Farm (Holburne Holdings Inc.)  - User,"Nicola Furlano and Antonietta Hebert, President and Secretary","1337 Holborn Road, Queensville, Ontario, L0G 1R0",Assumed - Demand Debenture,Farm Credit Canada,,,18%,"$900,000.00 ",,,,,,10/15/2009,,Subsequent - Demand Debenture,Farm Credit Canada,,,18%,"$1,500,000.00 ",,,,,,4/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,953 Wilson Avenue,North York,"$4,000,000.00 ",,Industrial,3.960 acres,,4/3/2019,Imperial Oil (172965 Canada Limited),"Ranjit Multani and Jennifer Wyma, Commercial Portfolio Manager and Commercial Coordinator","505 Quarry Park Boulevard SE, Calgary, Alberta, T2C 5N1",2523360 Ontario Inc.  - Private Investor - Canadian,"Eric Jain, ASO","7280 Dixie Road, Mississauga, Ontario, L5S 1E1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,10491 Fourth Line,Halton Hills,"$3,000,000.00 ",,Agricultural,76.165 acres,,4/2/2019,An individual(s) acting in his/her own capacity,,"Brian Lenstra, ASO",MBH Property Management Inc.  - Private Investor - Canadian,"Brian Lenstra, ASO","16 Westholme Avenue, Toronto, Ontario, M6P 3B8",VTB,Vendor Financed,,,5,"$1,500,000.00 ",Semi-annually,,,10/2/2019,4/2/2024,4/2/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,300 Painted Post Drive,Scarborough,"$4,300,000.00 ",,Retail,0.577 acres,,4/1/2019,Palmyra Development Ltd.,"Prashanth Ganesh, President", 300 Painted Post Drive    -   2017-04-18,Markham Petroleum Limited  - User,"Ramesh Senthilnathan, ASO","300 Painted Post Drive, Scarborough",Subsequent,Royal Bank of Canada,,,Royal Bank of Canada prime rate + 5.0% per annum,"$4,100,000.00 ",,,,,,4/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,3069 Demara Road,Scugog,"$2,300,000.00 ",,Agricultural,102.799 acres,,4/1/2019,Casteels Poultry Farms Ltd.,"Willy Casteels, President","561 Thomas Road, P.O. Box 40, Colborne, Ontario, K0K 1S0",2687350 Ontario Ltd.  - Private Investor - Canadian,"Brian Daly, ASO","c/o 140 Fullarton Street, Suite 1800, London, Ontario, N6A 5P2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,184 Bond Street West,Oshawa,"$1,050,000.00 ",,Commercial,0.547 acres,,3/29/2019,917925 Ontario Limited,"John Stapley, Secretary-Treasurer","372 Welland Avenue, Oshawa, Ontario, L1J 3C6",184 Bond St. W. Inc.  - Private Investor - Canadian,"Chu Wuen Wang, President","3100 Steeles Avenue East, Suite 201, Markham, Ontario, L3R 8T3",VTB,Vendor Financed,,,5.50%,"$735,000.00 ",Monthly,Monthly,,4/28/2019,12/18/2023,3/29/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,13492 Centreville Creek Road,Caledon,"$3,300,000.00 ",,Agricultural,48.025 acres,,3/29/2019,Sambiase Holdings Ltd.,"Franco Ferragine, President","214 Columbus Avenue, Woodbridge, Ontario, L4L 7K2",Raj Group ltd. (8181926 Canada Inc.)  - Private Investor - Canadian,"Rajwinder Chahal, President","699 Espirit Crescent, Mississauga, Ontario, L5R 3C1",Subsequent,Vendor Financed,,,3.75% per annum,"$1,300,000.00 ",Monthly,Monthly,"$4,062.50 ",4/29/2019,3/29/2024,3/29/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,151 Blue Mountain Road,Uxbridge,"$1,150,000.00 ",,Agricultural,109.733 acres,,3/29/2019,An individual(s) acting in his/her own capacity,,"Timothy Broadway, ASO",Tim Broadway Farms Ltd.  - User,"Timothy Broadway, ASO","11849 Durham Road 30, Regional Road 3, Mount Albert, Ontario, L0G 1M0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,2755 Elgin Mills Road East,Markham,"$6,200,000.00 ",,Commercial,9.595 acres,,3/29/2019,2655038 Ontario Inc.,"Harminder Singh Burmi, Director","13882 Warden Avenue, Stouffville, Ontario",Greenpark Homes (Leporis Construction Inc.)  - Developer,"Claudio Aversa, ASO","8700 Dufferin Street, Concord, Ontario, L4K 4S6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,3189 Harmony Road North,Oshawa,"$1,800,000.00 ",,Long Term,85.272 acres,,3/29/2019,W. E. Roth Construction Limited,"Victor Roth, ASO","2385 Energy Drive, Bowmanville, Ontario, L1C 6Z9",An individual(s) acting in his/her own capacity   ,,,Subsequent,An individual(s) acting in his/her own capacity,,,6.0% per annum,"$500,000.00 ",Semi-annually,Monthly,"$2,500 ",4/29/2019,3/29/2021,3/29/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,3563 Vandorf Sideroad,Whitchurch-Stouffville,"$2,710,000.00 ",,Recreation,18.906 acres,,3/28/2019,An individual(s) acting in his/her own capacity,,"Yi He, ASO",11304631 Canada Inc.  - Private Investor - Canadian,"Yi He, ASO","3563 Vandorf Sideroad, Stouffville, Ontario, L4A 4H5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,455 Harry Walker Parkway,Newmarket,"$1,615,000.00 ",,Commercial,1.455 acres,,3/28/2019,AutoCanada Inc. (NMNI Properties Inc.),"Paul Antony, Executive Chairman","15511 123 Avenue NW, Suite 220, Edmonton, Alberta, T5V 0C3",Elm Developments Corp. (Elm Harry Walker Parkway (2019) 2 Inc.)  - Developer,"Elliot Steiner, ASO","1931 Highway 7, Concord, Ontario, L4K 1V5",Subsequent,Romspen Investment Corporation,,,10.00%,"$3,000,000.00 ",Monthly,,,5/1/2019,4/1/2021,3/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,1750 Britannia Road East,Mississauga,"$24,500,000.00 ",,Industrial,9.936 acres,,3/28/2019,"Kinsale Investments Limited
Famhil Developments Limited","Edward O'Brien and Warren Hill, President and ASO",1750 Britannia Road East,2678970 Ontario Ltd.  - Private Investor - Canadian,"Gurvinder Virk, ASO","5355 Creekbank Road, Mississauga, Ontario, L4W 5L5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,1744 Dundas Street West,Old Toronto,"$1,310,000.00 ",,Commercial,0.076 acres,,3/26/2019,An individual(s) acting in his/her own capacity,,"Jose Lourenco and David Paiva, ASOs",2684924 Ontario Inc.  - Private Investor - Canadian,"Jose Lourenco and David Paiva, ASOs","1444 Dupont Street, Suite 5A, Toronto, Ontario, M6P 4H3",VTB,Vendor Financed,,,5.0% per annum,"$786,000.00 ",Semi-annually,Monthly,"$3,275.00 ",4/25/2019,3/25/2020,3/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,25 Laskay Mills Drive,King,"$5,350,000.00 ",,Long Term,74.359 acres,,3/25/2019,KSV Advisory Inc. (Inn on the Farm Inc.),"Mitch Vininsky, Managing Director","c/o KSV Advisory Inc., 150 King Street, Suite 2308, Toronto, Ontario, M5H 1J9",Mid-Ontario Diesel (2681465 Ontario Limited)  - Private Investor - Canadian,"John Costa and Guido Lecce, ASOs","2400 Kirby Road, Vaughan, Ontario, L6A 4R6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,16 Wheeler Drive,Caledon,"$2,200,000.00 ",,Industrial,1.007 acres,,3/22/2019,2036281 Ontario Inc.,"Harpal Benipal, ASO", 16 Wheeler Drive    -   2018-07-03,2665894 Ontario Inc.  - Private Investor - Canadian,"Manjit Singh Mangat and Baljit Kaur Kahlon, ASOs","355 Robert Parkinson Drive, Brampton, Ontario, L7A 4C5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICILand,280 King Street East,Old Toronto,"$1,400,000.00 ",,Commercial,0.034 acres,,3/20/2019,SAS Institute Inc. (SAS Institute (Canada) Inc.),"Stephen Lennie, Controller", 25 Ontario Street    -   2018-10-17,"Hospitals of Ontario Pension Plan (HOOPP Realty Inc. (as to an undivided 90% interest))  - Institution
First Gulf Corporation (First Gulf Ontario Street Corporation (as to an undivided 10% interest))  - Developer","M. John Macneil & Nicholas Macrae and Stephen Tyler, ASO & Vice-President and President","3751 Victoria Park Avenue, Toronto, Ontario, M1W 3Z4, and One York Street, Suite 1900, Toronto, Ontario, L5J 0B6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
